DB	ID	ID_REPET	TE_LEN	FAMILY	CHR	START	END	STRAND	LEN_DIFF	INTERSECT	INTERACT	TYPE_INTERACT	NMERGE
BOTH	FBti0019109	ISO1_20_Nomad	7606	Nomad	2L	2112168	2119774	-	14	7606	1	N	0
BOTH	FBti0019110	ISO1_21_Copia	5146	Copia	2L	2294097	2299243	-	11	5146	1	N	0
REPET	ISO1_22_LARD	.	327	LARD	2L	2389504	2389831	-	-1	0	0	-	0
REPET	ISO1_23_LARD	.	260	LARD	2L	2479636	2479896	-	-1	0	0	-	0
BOTH	FBti0019749	ISO1_24_297	6010	297	2L	2565593	2571603	+	6	6010	1	N	0
BOTH	FBti0019111	ISO1_25_I-element	1767	I-element	2L	2661258	2663025	+	6	1767	1	N	0
FLYBASE	FBti0060718	.	30	transib2	2L	2713414	2713444	-	-1	0	0	-	0
BOTH	FBti0019750	ISO1_26_297	6522	297	2L	2772653	2779175	+	6	6522	1	N	0
REPET	ISO1_27_LARD	.	280	LARD	2L	2850786	2851066	+	-1	0	0	-	0
FLYBASE	FBti0063012	.	26	GATE	2L	2909337	2909363	-	-1	0	0	-	0
BOTH	FBti0019112	ISO1_28_pogo	2121	pogo	2L	2933354	2935475	-	1	2121	1	N	0
BOTH	FBti0063010	ISO1_29_INE-1	60	INE-1	2L	3004458	3004518	+	69	60	1	N	0
REPET	ISO1_30_LARD	.	377	LARD	2L	3045906	3046283	-	-1	0	0	-	0
BOTH	FBti0019113	ISO1_31_Copia	5144	Copia	2L	3073087	3078231	+	8	5144	1	N	0
FLYBASE	FBti0063022	.	36	1360	2L	3171381	3171417	-	-1	0	0	-	0
BOTH	FBti0019114	ISO1_32_mdg1	7371	mdg1	2L	3202794	3210165	-	0	7371	1	N	0
REPET	ISO1_33_LARD	.	274	LARD	2L	3239090	3239364	-	-1	0	0	-	0
BOTH	FBti0019115	ISO1_34_gypsy1	7509	gypsy1	2L	3251549	3259058	+	5	7509	1	N	0
BOTH	FBti0019116	ISO1_35_pogo	185	pogo	2L	3388653	3388838	+	1	185	1	N	0
REPET	ISO1_36_INE-1	.	157	INE-1	2L	3394552	3394709	+	-1	0	0	-	0
REPET	ISO1_37_LARD	.	349	LARD	2L	3402046	3402395	+	-1	0	0	-	0
BOTH	FBti0063035	ISO1_38_INE-1	354	INE-1	2L	3462712	3463066	-	45	354	1	N	0
REPET	ISO1_39_LARD	.	977	LARD	2L	3568488	3569465	+	-1	0	0	-	0
BOTH	FBti0019117	ISO1_40_Copia	5144	Copia	2L	3649843	3654987	+	55	5144	1	N	0
REPET	ISO1_41_INE-1	.	110	INE-1	2L	3871999	3872109	+	-1	0	0	-	0
FLYBASE	FBti0063101	.	26	INE-1	2L	3964495	3964521	+	-1	0	0	-	0
BOTH	FBti0063042	ISO1_42_INE-1	81	INE-1	2L	3994179	3994260	+	58	81	1	N	0
BOTH	FBti0063043	ISO1_43_INE-1	230	INE-1	2L	4030513	4030743	+	8	230	1	N	0
REPET	ISO1_44_Nomad	.	101	Nomad	2L	4061737	4061838	-	-1	0	0	-	0
BOTH	FBti0019118	ISO1_45_Doc6	2749	Doc6	2L	4066105	4068854	-	11	2749	1	N	0
REPET	ISO1_46_NewFam06	.	265	NewFam06	2L	4123145	4123410	-	-1	0	0	-	0
FLYBASE	FBti0063046	.	48	FB4	2L	4181240	4181288	+	-1	0	0	-	0
BOTH	FBti0019119	ISO1_47_Burdock	2574	Burdock	2L	4181327	4183901	-	8	2574	1	N	0
BOTH	FBti0019120	ISO1_48_mdg1	7383	mdg1	2L	4601759	4609142	-	0	7383	1	N	0
BOTH	FBti0019121	ISO1_49_Nomad	7526	Nomad	2L	4661880	4669406	-	19	7526	1	N	0
REPET	ISO1_50_LARD	.	636	LARD	2L	4700293	4700929	+	-1	0	0	-	0
FLYBASE	FBti0063077	.	51	G2	2L	4785696	4785747	-	-1	0	0	-	0
BOTH	FBti0019122	ISO1_51_jockey	5001	jockey	2L	4918233	4923234	-	5	5001	1	N	0
REPET	ISO1_52_NewFam06	.	2968	NewFam06	2L	4938058	4941026	-	-1	0	0	-	0
REPET	ISO1_53_INE-1	.	104	INE-1	2L	4947929	4948033	-	-1	0	0	-	0
BOTH	FBti0019123	ISO1_54_pogo	185	pogo	2L	4953566	4953751	+	1	185	1	N	0
BOTH	FBti0019124	ISO1_55_S-element	206	S-element	2L	4973719	4973925	-	89	117	1	N	0
BOTH	FBti0063078	ISO1_56_INE-1	101	INE-1	2L	5120301	5120402	+	33	101	1	N	0
BOTH	FBti0019125	ISO1_57_Doc	2307	Doc	2L	5342835	5345142	-	6	2307	1	N	0
REPET	ISO1_58_LARD	.	957	LARD	2L	5369493	5370450	+	-1	0	0	-	0
REPET	ISO1_59_LARD	.	1326	LARD	2L	5570878	5572204	-	-1	0	0	-	0
FLYBASE	FBti0063169	.	58	INE-1	2L	5591183	5591241	+	-1	0	0	-	0
BOTH	FBti0063170	ISO1_60_INE-1	87	INE-1	2L	5608581	5608668	-	15	46	1	N	0
FLYBASE	FBti0063171	.	51	INE-1	2L	5629391	5629442	+	-1	0	0	-	0
REPET	ISO1_61_412	.	101	412	2L	5767611	5767712	+	-1	0	0	-	0
FLYBASE	FBti0063672	.	35	1360	2L	5804280	5804315	-	-1	0	0	-	0
BOTH	FBti0019126	ISO1_62_roo	8949	roo	2L	5827763	5836712	-	3	8949	1	N	0
FLYBASE	FBti0063172	.	40	INE-1	2L	5837184	5837224	+	-1	0	0	-	0
FLYBASE	FBti0063268	.	36	blood	2L	5985132	5985168	+	-1	0	0	-	0
BOTH	FBti0019127	ISO1_63_S-element	508	S-element	2L	6101131	6101639	+	7	508	1	N	0
FLYBASE	FBti0063673	.	39	INE-1	2L	6107198	6107237	-	-1	0	0	-	0
REPET	ISO1_64_NewFam06	.	514	NewFam06	2L	6152518	6153032	-	-1	0	0	-	0
REPET	ISO1_65_LARD	.	343	LARD	2L	6236992	6237335	+	-1	0	0	-	0
BOTH	FBti0019128	ISO1_66_Burdock	2864	Burdock	2L	6363205	6366069	+	5	2864	1	N	0
BOTH	FBti0063674	ISO1_67_roo	4652	roo	2L	6426911	6431563	+	0	4652	1	N	0
BOTH	FBti0019752	ISO1_68_roo	4449	roo	2L	6431564	6436013	-	2	4449	1	N	0
BOTH	FBti0059767	ISO1_68_roo|ISO1_69_roo	9098	roo	2L	6436014	6445112	+	NA	NA	2	N	2
REPET	ISO1_70_LARD	.	1585	LARD	2L	6517916	6519501	-	-1	0	0	-	0
BOTH	FBti0019129	ISO1_71_diver	6132	diver	2L	6876832	6882964	+	1	6132	1	N	0
REPET	ISO1_72_Mariner_CA	.	529	Mariner_CA	2L	6922925	6923454	-	-1	0	0	-	0
FLYBASE	FBti0063690	.	70	1731	2L	6966272	6966342	+	-1	0	0	-	0
FLYBASE	FBti0063689	.	50	mdg1	2L	6967536	6967586	-	-1	0	0	-	0
BOTH	FBti0019130	ISO1_73_HMS-Beagle	7061	HMS-Beagle	2L	6991487	6998548	-	13	7061	1	N	0
REPET	ISO1_74_LARD	.	1602	LARD	2L	7066071	7067673	-	-1	0	0	-	0
BOTH	FBti0063691	ISO1_75_INE-1	137	INE-1	2L	7088646	7088783	+	145	137	1	N	0
FLYBASE	FBti0063692	.	32	INE-1	2L	7172704	7172736	-	-1	0	0	-	0
REPET	ISO1_76_NewFam14	.	203	NewFam14	2L	7232641	7232844	-	-1	0	0	-	0
BOTH	FBti0063710	ISO1_77_INE-1	343	INE-1	2L	7232881	7233224	+	33	343	1	N	0
BOTH	FBti0063711	ISO1_78_INE-1	73	INE-1	2L	7257364	7257437	-	38	70	1	N	0
REPET	ISO1_79_NewFam14	.	220	NewFam14	2L	7257481	7257701	+	-1	0	0	-	0
BOTH	FBti0019131	ISO1_80_roo	7057	roo	2L	7343381	7350438	+	1	7057	1	N	0
REPET	ISO1_81_INE-1	.	185	INE-1	2L	7410415	7410600	+	-1	0	0	-	0
BOTH	FBti0019132	ISO1_82_Burdock	2378	Burdock	2L	7548136	7550514	-	9	2378	1	N	0
BOTH	FBti0019133	ISO1_83_BS	125	BS	2L	7579255	7579380	-	0	125	1	N	0
BOTH	FBti0063776	ISO1_84_INE-1	52	INE-1	2L	7751362	7751414	-	68	52	1	N	0
REPET	ISO1_85_INE-1	.	104	INE-1	2L	7779290	7779394	-	-1	0	0	-	0
FLYBASE	FBti0063733	.	43	INE-1	2L	7887744	7887787	-	-1	0	0	-	0
BOTH	FBti0019134	ISO1_86_pogo	1355	pogo	2L	7959095	7960450	+	1	1355	1	N	0
BOTH	FBti0019135	ISO1_87_297	6916	297	2L	7977135	7984051	+	6	6916	1	N	0
BOTH	FBti0019136	ISO1_88_Copia	5145	Copia	2L	8013669	8018814	+	2	5145	1	N	0
BOTH	FBti0019137	ISO1_89_Doc	4719	Doc	2L	8018860	8023579	+	9	4719	1	N	0
FLYBASE	FBti0063762	.	37	INE-1	2L	8051765	8051802	+	-1	0	0	-	0
REPET	ISO1_90_NewFam06	.	1188	NewFam06	2L	8353573	8354761	-	-1	0	0	-	0
BOTH	FBti0019138	ISO1_91_roo	9112	roo	2L	8452476	8461588	+	0	9112	1	N	0
BOTH	FBti0019754	ISO1_92_297	6996	297	2L	8594520	8601516	-	5	6996	1	N	0
REPET	ISO1_93_Doc4	.	113	Doc4	2L	8667431	8667544	-	-1	0	0	-	0
BOTH	FBti0019139	ISO1_94_Tirant	8320	Tirant	2L	8723170	8731490	-	11	8320	1	N	0
BOTH	FBti0019755	ISO1_95_G4	192	G4	2L	8776876	8777068	+	13	192	1	N	0
REPET	ISO1_96_LARD	.	186	LARD	2L	8951972	8952158	+	-1	0	0	-	0
BOTH	FBti0063777	ISO1_97_INE-1	43	INE-1	2L	8952710	8952753	-	121	43	1	N	0
BOTH	FBti0019140	ISO1_98_roo	7451	roo	2L	9000335	9007786	-	0	7451	1	N	0
REPET	ISO1_99_INE-1	.	145	INE-1	2L	9085865	9086010	-	-1	0	0	-	0
BOTH	FBti0063798	ISO1_100_INE-1	87	INE-1	2L	9194175	9194262	+	63	87	1	N	0
BOTH	FBti0019141	ISO1_101_Doc	4719	Doc	2L	9218029	9222748	-	3	4719	1	N	0
FLYBASE	FBti0063799	.	55	INE-1	2L	9314832	9314887	+	-1	0	0	-	0
BOTH	FBti0019142	ISO1_102_jockey	2908	jockey	2L	9393554	9396462	-	16	2892	1	N	0
BOTH	FBti0064242	ISO1_103_INE-1	126	INE-1	2L	9503225	9503351	+	77	124	1	N	0
FLYBASE	FBti0064243	.	103	INE-1	2L	9547573	9547676	-	-1	0	0	-	0
FLYBASE	FBti0063899	.	57	INE-1	2L	9778673	9778730	-	-1	0	0	-	0
FLYBASE	FBti0063900	.	82	INE-1	2L	9779278	9779360	+	-1	0	0	-	0
REPET	ISO1_104_LARD	.	864	LARD	2L	9931235	9932099	-	-1	0	0	-	0
BOTH	FBti0019143	ISO1_105_HMS-Beagle	7061	HMS-Beagle	2L	9973781	9980842	+	13	7061	1	N	0
REPET	ISO1_106_LARD	.	415	LARD	2L	9985203	9985618	-	-1	0	0	-	0
FLYBASE	FBti0064247	.	39	INE-1	2L	10033628	10033667	+	-1	0	0	-	0
BOTH	FBti0064250	ISO1_107_H	120	H	2L	10118445	10118565	-	0	120	1	N	0
BOTH	FBti0019144	ISO1_108_Rt1b	5170	Rt1b	2L	10138214	10143384	-	153	117	2	N	1
REPET	ISO1_109_Rt1a	.	134	Rt1a	2L	10143267	10143401	-	-1	0	0	-	0
BOTH	FBti0019145	ISO1_110_blood	7412	blood	2L	10156377	10163789	-	0	7412	1	N	0
FLYBASE	FBti0064249	.	72	INE-1	2L	10181564	10181636	+	-1	0	0	-	0
FLYBASE	FBti0064262	.	91	INE-1	2L	10298604	10298695	-	-1	0	0	-	0
REPET	ISO1_111_gypsy11	.	116	gypsy11	2L	10392074	10392190	+	-1	0	0	-	0
BOTH	FBti0064263	ISO1_112_INE-1	108	INE-1	2L	10404150	10404258	-	67	108	1	N	0
FLYBASE	FBti0064264	.	68	INE-1	2L	10437412	10437480	+	-1	0	0	-	0
BOTH	FBti0019146	ISO1_113_Nomad	7604	Nomad	2L	10592897	10600501	-	12	7604	1	N	0
FLYBASE	FBti0064280	.	36	INE-1	2L	10676361	10676397	+	-1	0	0	-	0
BOTH	FBti0064281	ISO1_114_INE-1	55	INE-1	2L	10683188	10683243	+	183	55	1	N	0
BOTH	FBti0019147	ISO1_115_Rt1b	1533	Rt1b	2L	10862904	10864437	-	3	1530	1	N	0
BOTH	FBti0019756	ISO1_116_297	6998	297	2L	10876598	10883596	+	6	6998	1	N	0
BOTH	FBti0064297	ISO1_117_INE-1	69	INE-1	2L	10901845	10901914	-	54	69	1	N	0
BOTH	FBti0019148	ISO1_118_roo	9156	roo	2L	10946999	10956155	+	3	9156	1	N	0
BOTH	FBti0064298	ISO1_119_INE-1	291	INE-1	2L	10984377	10984668	+	6	285	1	N	0
BOTH	FBti0064312	ISO1_120_Cr1a	142	Cr1a	2L	10984721	10984863	-	6	142	1	N	0
BOTH	FBti0064299	ISO1_121_INE-1	116	INE-1	2L	10986683	10986799	+	41	116	1	N	0
BOTH	FBti0064313	ISO1_122_INE-1	281	INE-1	2L	11154012	11154293	-	22	259	1	N	0
BOTH	FBti0059794	ISO1_123_Doc	3611	Doc	2L	11215132	11218743	-	8	3611	1	N	0
FLYBASE	FBti0059795	.	38	1360	2L	11300407	11300445	-	-1	0	0	-	0
BOTH	FBti0019149	ISO1_124_G2	2365	G2	2L	11315294	11317659	+	0	2365	1	N	0
FLYBASE	FBti0059820	.	33	transib2	2L	11321942	11321975	-	-1	0	0	-	0
BOTH	FBti0019150	ISO1_125_Tabor	7344	Tabor	2L	11540638	11547982	-	0	7344	1	N	0
FLYBASE	FBti0059821	.	66	INE-1	2L	11562555	11562621	-	-1	0	0	-	0
BOTH	FBti0019151	ISO1_126_Copia	5145	Copia	2L	11563692	11568837	-	5	5145	1	N	0
BOTH	FBti0019757	ISO1_127_hopper	1436	hopper	2L	11614108	11615544	-	0	1436	1	N	0
BOTH	FBti0019152	ISO1_128_blood	7410	blood	2L	11713562	11720972	+	0	7410	1	N	0
FLYBASE	FBti0059852	.	38	Stalker2	2L	11805123	11805161	+	-1	0	0	-	0
FLYBASE	FBti0059835	.	57	INE-1	2L	11837047	11837104	+	-1	0	0	-	0
BOTH	FBti0019153	ISO1_129_BS2	2861	BS2	2L	11897168	11900029	+	9	2861	1	N	0
REPET	ISO1_130_INE-1	.	141	INE-1	2L	11943247	11943388	-	-1	0	0	-	0
BOTH	FBti0019758	ISO1_131_297	6994	297	2L	12067385	12074379	+	5	6994	1	N	0
FLYBASE	FBti0059853	.	33	INE-1	2L	12156966	12156999	-	-1	0	0	-	0
FLYBASE	FBti0060240	.	34	INE-1	2L	12197314	12197348	+	-1	0	0	-	0
FLYBASE	FBti0060244	.	67	H	2L	12262559	12262626	+	-1	0	0	-	0
FLYBASE	FBti0060242	.	30	INE-1	2L	12285973	12286003	+	-1	0	0	-	0
FLYBASE	FBti0060243	.	54	INE-1	2L	12322001	12322055	-	-1	0	0	-	0
FLYBASE	FBti0063921	.	54	INE-1	2L	12547702	12547756	+	-1	0	0	-	0
BOTH	FBti0019154	ISO1_132_HMS-Beagle	7071	HMS-Beagle	2L	12558375	12565446	-	11	7071	1	N	0
REPET	ISO1_133_Kepler	.	115	Kepler	2L	12575926	12576041	+	-1	0	0	-	0
BOTH	FBti0019155	ISO1_134_pogo	185	pogo	2L	12728975	12729160	-	1	185	1	N	0
BOTH	FBti0019156	ISO1_135_F-element	4693	F-element	2L	12731125	12735818	+	2	4691	1	N	0
BOTH	FBti0019157	ISO1_136_Doc	4718	Doc	2L	12739229	12743947	-	3	4718	1	N	0
BOTH	FBti0060271	ISO1_137_INE-1	195	INE-1	2L	12753459	12753654	-	31	137	1	N	0
BOTH	FBti0019158	ISO1_138_BS	144	BS	2L	12763895	12764039	+	0	144	1	N	0
BOTH	FBti0019159	ISO1_139_Quasimodo	7386	Quasimodo	2L	12781858	12789244	-	0	7386	1	N	0
BOTH	FBti0019160	ISO1_140_F-element	3612	F-element	2L	12791663	12795275	-	0	3612	1	N	0
BOTH	FBti0019161	ISO1_141_H	1405	H	2L	12861753	12863158	+	2	1405	1	N	0
FLYBASE	FBti0060295	.	54	gypsy11	2L	12868904	12868958	-	-1	0	0	-	0
BOTH	FBti0019162	ISO1_142_H	1405	H	2L	12894076	12895481	+	0	1405	1	N	0
BOTH	FBti0019163	ISO1_143_blood	7409	blood	2L	12933905	12941314	-	5	7409	1	N	0
FLYBASE	FBti0060315	.	26	Ivk	2L	12961806	12961832	+	-1	0	0	-	0
BOTH	FBti0060534	ISO1_144_H	279	H	2L	12986941	12987220	-	1	279	1	N	0
BOTH	FBti0019164	ISO1_145_BS2	180	BS2	2L	13036300	13036480	+	3	180	1	N	0
FLYBASE	FBti0060316	.	54	INE-1	2L	13140367	13140421	+	-1	0	0	-	0
BOTH	FBti0019165	ISO1_146_BS	2326	BS	2L	13242015	13244341	+	0	2326	1	N	0
REPET	ISO1_147_INE-1	.	216	INE-1	2L	13335007	13335223	+	-1	0	0	-	0
FLYBASE	FBti0060348	.	47	FB4	2L	13363408	13363455	+	-1	0	0	-	0
BOTH	FBti0019166	ISO1_148_Doc	4723	Doc	2L	13405707	13410430	+	23	4723	1	N	0
BOTH	FBti0019167	ISO1_149_Quasimodo	7378	Quasimodo	2L	13449517	13456895	-	0	7378	1	N	0
FLYBASE	FBti0060329	.	62	INE-1	2L	13479435	13479497	-	-1	0	0	-	0
BOTH	FBti0019168	ISO1_150_jockey	541	jockey	2L	13481503	13482044	-	9	532	1	N	0
BOTH	FBti0019169	ISO1_151_Transpac	5248	Transpac	2L	13522313	13527561	-	6	5248	1	N	0
FLYBASE	FBti0060350	.	59	INE-1	2L	13543728	13543787	+	-1	0	0	-	0
FLYBASE	FBti0060351	.	48	INE-1	2L	13558440	13558488	-	-1	0	0	-	0
BOTH	FBti0019170	ISO1_152_F-element	4695	F-element	2L	13560515	13565210	+	1	4694	1	N	0
FLYBASE	FBti0060352	.	67	INE-1	2L	13581897	13581964	-	-1	0	0	-	0
BOTH	FBti0019171	ISO1_153_G2	1151	G2	2L	13599229	13600380	-	19	1132	1	N	0
FLYBASE	FBti0060353	.	59	INE-1	2L	13611261	13611320	+	-1	0	0	-	0
REPET	ISO1_154_gypsy10	.	120	gypsy10	2L	13639288	13639408	+	-1	0	0	-	0
REPET	ISO1_155_Stalker2	.	117	Stalker2	2L	13685079	13685196	-	-1	0	0	-	0
BOTH	FBti0019172	ISO1_156_Doc	1046	Doc	2L	13761861	13762907	-	7	1046	1	N	0
BOTH	FBti0060388	ISO1_157_S-element	236	S-element	2L	13783721	13783957	-	43	193	1	N	0
FLYBASE	FBti0060369	.	52	INE-1	2L	13790648	13790700	+	-1	0	0	-	0
FLYBASE	FBti0060368	.	63	jockey	2L	13842517	13842580	+	-1	0	0	-	0
BOTH	FBti0019173	ISO1_158_roo	9091	roo	2L	13853140	13862231	-	2	9091	1	N	0
REPET	ISO1_159_INE-1	.	122	INE-1	2L	14020897	14021019	+	-1	0	0	-	0
REPET	ISO1_160_INE-1	.	141	INE-1	2L	14026616	14026757	-	-1	0	0	-	0
REPET	ISO1_161_gypsy11	.	235	gypsy11	2L	14166985	14167220	-	-1	0	0	-	0
FLYBASE	FBti0059982	.	42	INE-1	2L	14345802	14345844	-	-1	0	0	-	0
BOTH	FBti0059985	ISO1_162_INE-1	103	INE-1	2L	14377133	14377236	+	281	103	1	N	0
BOTH	FBti0059713	ISO1_163_Doc|ISO1_165_Doc	3407	Doc	2L	14465640	14469047	-	NA	NA	3	Y	2
BOTH	FBti0019760	ISO1_164_hopper	1434	hopper	2L	14466054	14467488	+	1	1433	1	N	0
FLYBASE	FBti0060788	.	27	Tc1	2L	14500576	14500603	+	-1	0	0	-	0
BOTH	FBti0019174	ISO1_166_jockey	361	jockey	2L	14618937	14619298	-	12	349	1	N	0
BOTH	FBti0019175	ISO1_167_roo	9104	roo	2L	14642626	14651730	-	3	9104	1	N	0
FLYBASE	FBti0060789	.	73	INE-1	2L	14695333	14695406	-	-1	0	0	-	0
BOTH	FBti0060790	ISO1_168_INE-1	45	INE-1	2L	14738268	14738313	-	305	45	1	N	0
REPET	ISO1_169_INE-1	.	350	INE-1	2L	14742333	14742683	-	-1	0	0	-	0
BOTH	FBti0060791	ISO1_170_INE-1	107	INE-1	2L	14743941	14744048	-	34	107	1	N	0
REPET	ISO1_171_INE-1	.	104	INE-1	2L	14747220	14747324	-	-1	0	0	-	0
REPET	ISO1_172_THARE	.	105	THARE	2L	14778293	14778398	+	-1	0	0	-	0
BOTH	FBti0019176	ISO1_173_Copia	5144	Copia	2L	14803935	14809079	-	10	5144	1	N	0
BOTH	FBti0060844	ISO1_174_INE-1	131	INE-1	2L	14884909	14885040	-	83	131	1	N	0
BOTH	FBti0019177	ISO1_175_jockey	352	jockey	2L	14890023	14890375	-	12	340	1	N	0
BOTH	FBti0019178	ISO1_176_Nomad	7524	Nomad	2L	14984451	14991975	+	20	7524	1	N	0
BOTH	FBti0060845	ISO1_177_INE-1	180	INE-1	2L	15004853	15005033	-	17	180	1	N	0
FLYBASE	FBti0060865	.	58	H	2L	15081483	15081541	-	-1	0	0	-	0
REPET	ISO1_178_INE-1	.	365	INE-1	2L	15131372	15131737	+	-1	0	0	-	0
REPET	ISO1_179_INE-1	.	242	INE-1	2L	15197182	15197424	-	-1	0	0	-	0
FLYBASE	FBti0060866	.	77	G5A	2L	15204079	15204156	-	-1	0	0	-	0
REPET	ISO1_180_INE-1	.	138	INE-1	2L	15249764	15249902	-	-1	0	0	-	0
BOTH	FBti0019179	ISO1_181_blood	7411	blood	2L	15446106	15453517	+	0	7411	1	N	0
BOTH	FBti0060867	ISO1_182_INE-1	119	INE-1	2L	15534445	15534564	+	164	119	1	N	0
REPET	ISO1_183_gypsy4	.	168	gypsy4	2L	15560226	15560394	+	-1	0	0	-	0
BOTH	FBti0019762	ISO1_184_297	6994	297	2L	15586465	15593459	+	6	6994	1	N	0
BOTH	FBti0019763	ISO1_185_H	1405	H	2L	15653162	15654567	-	10	1405	1	N	0
BOTH	FBti0059715	ISO1_186_Quasimodo	2975	Quasimodo	2L	15683783	15686758	+	0	2975	1	N	0
BOTH	FBti0019766	ISO1_187_H	1405	H	2L	15686759	15688164	-	2	1405	1	N	0
BOTH	FBti0059716	ISO1_188_Quasimodo	8790	Quasimodo	2L	15718780	15727570	+	0	8790	2	N	1
BOTH	FBti0019768	ISO1_189_H	1405	H	2L	15721756	15723161	-	0	1405	2	N	1
FLYBASE	FBti0060884	.	26	INE-1	2L	15773609	15773635	+	-1	0	0	-	0
BOTH	FBti0019180	ISO1_190_Tabor	2372	Tabor	2L	15826915	15829287	+	0	2372	1	N	0
BOTH	FBti0019181	ISO1_191_H	1405	H	2L	15838501	15839906	-	11	1405	1	N	0
BOTH	FBti0060900	ISO1_192_INE-1	170	INE-1	2L	15894093	15894263	-	25	170	1	N	0
FLYBASE	FBti0060901	.	52	INE-1	2L	15902768	15902820	+	-1	0	0	-	0
REPET	ISO1_193_Invader3	.	111	Invader3	2L	15908677	15908788	+	-1	0	0	-	0
BOTH	FBti0060902	ISO1_194_INE-1	272	INE-1	2L	15922917	15923189	-	137	272	1	N	0
BOTH	FBti0019182	ISO1_195_H	1405	H	2L	15956082	15957487	+	19	1405	1	N	0
BOTH	FBti0060917	ISO1_196_INE-1	41	INE-1	2L	16040641	16040682	+	72	41	1	N	0
BOTH	FBti0060918	ISO1_197_INE-1	73	INE-1	2L	16120109	16120182	-	65	73	1	N	0
BOTH	FBti0019183	ISO1_198_Copia	5148	Copia	2L	16141218	16146366	+	1	5148	1	N	0
BOTH	FBti0019184	ISO1_199_297	6996	297	2L	16153791	16160787	-	6	6996	1	N	0
FLYBASE	FBti0060935	.	87	BS3	2L	16163406	16163493	+	-1	0	0	-	0
BOTH	FBti0060936	ISO1_200_INE-1	61	INE-1	2L	16192011	16192072	+	86	61	1	N	0
BOTH	FBti0019770	ISO1_201_1360	1104	1360	2L	16280313	16281417	-	4	1104	1	N	0
BOTH	FBti0060937	ISO1_202_INE-1	110	INE-1	2L	16293825	16293935	+	2	108	1	N	0
BOTH	FBti0019185	ISO1_203_HMS-Beagle	7056	HMS-Beagle	2L	16512018	16519074	+	13	7056	1	N	0
REPET	ISO1_204_INE-1	.	144	INE-1	2L	16589558	16589702	+	-1	0	0	-	0
REPET	ISO1_205_Kepler	.	290	Kepler	2L	16663118	16663408	+	-1	0	0	-	0
FLYBASE	FBti0061378	.	57	INE-1	2L	16665658	16665715	-	-1	0	0	-	0
BOTH	FBti0060535	ISO1_206_INE-1	103	INE-1	2L	16679128	16679231	-	466	99	1	N	0
BOTH	FBti0061379	ISO1_206_INE-1	111	INE-1	2L	16679479	16679590	-	458	111	1	N	0
FLYBASE	FBti0061380	.	44	INE-1	2L	16722808	16722852	+	-1	0	0	-	0
FLYBASE	FBti0061396	.	89	Micropia	2L	16729697	16729786	+	-1	0	0	-	0
REPET	ISO1_207_Kepler	.	337	Kepler	2L	16732172	16732509	+	-1	0	0	-	0
REPET	ISO1_208_Kepler	.	235	Kepler	2L	16799323	16799558	-	-1	0	0	-	0
BOTH	FBti0061398	ISO1_209_Doc	69	Doc	2L	16854994	16855063	+	389	69	1	N	0
BOTH	FBti0061430	ISO1_210_Doc3	147	Doc3	2L	16855068	16855215	+	1921	147	2	N	1
FLYBASE	FBti0060536	.	1156	Doc4	2L	16855798	16856954	+	-1	1156	1	Y	0
